Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,088123,2005,12,47.8,Y
IDCJAC0001,088123,2006,01,51.6,Y
IDCJAC0001,088123,2006,02,19.0,Y
IDCJAC0001,088123,2006,03,20.6,Y
IDCJAC0001,088123,2006,04,45.8,Y
IDCJAC0001,088123,2006,06,19.8,Y
IDCJAC0001,088123,2006,07,97.8,Y
IDCJAC0001,088123,2006,08,31.4,Y
IDCJAC0001,088123,2006,09,47.6,Y
IDCJAC0001,088123,2006,10,6.4,Y
IDCJAC0001,088123,2006,11,34.2,Y
IDCJAC0001,088123,2006,12,17.4,Y
IDCJAC0001,088123,2007,01,83.6,Y
IDCJAC0001,088123,2007,02,22.2,Y
IDCJAC0001,088123,2007,03,40.4,Y
IDCJAC0001,088123,2007,04,46.2,Y
IDCJAC0001,088123,2007,05,121.2,Y
IDCJAC0001,088123,2007,06,59.6,Y
IDCJAC0001,088123,2007,07,84.0,Y
IDCJAC0001,088123,2007,08,36.0,Y
IDCJAC0001,088123,2007,09,49.6,Y
IDCJAC0001,088123,2007,10,14.4,Y
IDCJAC0001,088123,2007,11,62.4,Y
IDCJAC0001,088123,2007,12,83.6,Y
IDCJAC0001,088123,2008,01,25.0,Y
IDCJAC0001,088123,2008,02,19.0,Y
IDCJAC0001,088123,2008,03,24.8,Y
IDCJAC0001,088123,2008,04,21.8,Y
IDCJAC0001,088123,2008,05,39.2,Y
IDCJAC0001,088123,2008,06,51.4,Y
IDCJAC0001,088123,2008,07,103.6,Y
IDCJAC0001,088123,2008,08,61.6,Y
IDCJAC0001,088123,2008,09,28.4,Y
IDCJAC0001,088123,2008,10,10.6,Y
IDCJAC0001,088123,2008,11,66.0,Y
IDCJAC0001,088123,2008,12,77.2,Y
IDCJAC0001,088123,2009,01,0.0,Y
IDCJAC0001,088123,2009,02,3.0,Y
IDCJAC0001,088123,2009,03,27.8,Y
IDCJAC0001,088123,2009,04,34.2,Y
IDCJAC0001,088123,2009,05,26.4,Y
IDCJAC0001,088123,2009,06,66.6,Y
IDCJAC0001,088123,2009,07,81.0,Y
IDCJAC0001,088123,2009,08,99.6,Y
IDCJAC0001,088123,2009,09,92.6,Y
IDCJAC0001,088123,2009,10,33.6,Y
IDCJAC0001,088123,2009,11,78.0,Y
IDCJAC0001,088123,2009,12,39.0,Y
IDCJAC0001,088123,2010,01,28.2,Y
IDCJAC0001,088123,2010,02,54.4,Y
IDCJAC0001,088123,2010,03,79.6,Y
IDCJAC0001,088123,2010,04,52.8,Y
IDCJAC0001,088123,2010,05,46.6,Y
IDCJAC0001,088123,2010,06,91.4,Y
IDCJAC0001,088123,2010,07,80.0,Y
IDCJAC0001,088123,2010,08,115.2,Y
IDCJAC0001,088123,2010,09,119.8,Y
IDCJAC0001,088123,2010,10,152.2,Y
IDCJAC0001,088123,2010,11,162.6,Y
IDCJAC0001,088123,2010,12,79.0,Y
IDCJAC0001,088123,2011,01,284.2,Y
IDCJAC0001,088123,2011,02,112.6,Y
IDCJAC0001,088123,2011,03,26.2,Y
IDCJAC0001,088123,2011,04,48.0,Y
IDCJAC0001,088123,2011,05,57.6,Y
IDCJAC0001,088123,2011,06,64.0,Y
IDCJAC0001,088123,2011,07,82.5,Y
IDCJAC0001,088123,2011,08,59.0,Y
IDCJAC0001,088123,2011,09,78.0,Y
IDCJAC0001,088123,2011,10,57.0,Y
IDCJAC0001,088123,2011,11,54.8,Y
IDCJAC0001,088123,2011,12,64.8,Y
IDCJAC0001,088123,2012,01,27.9,Y
IDCJAC0001,088123,2012,02,93.0,Y
IDCJAC0001,088123,2012,03,79.4,Y
IDCJAC0001,088123,2012,04,24.6,Y
IDCJAC0001,088123,2012,05,36.0,Y
IDCJAC0001,088123,2012,06,102.2,Y
IDCJAC0001,088123,2012,07,95.8,Y
IDCJAC0001,088123,2012,08,87.2,Y
IDCJAC0001,088123,2012,09,53.2,Y
IDCJAC0001,088123,2012,10,13.6,Y
IDCJAC0001,088123,2012,11,25.8,Y
IDCJAC0001,088123,2012,12,22.2,Y
IDCJAC0001,088123,2013,01,0.0,Y
IDCJAC0001,088123,2013,02,78.8,Y
IDCJAC0001,088123,2013,03,34.8,Y
IDCJAC0001,088123,2013,04,14.2,Y
IDCJAC0001,088123,2013,05,44.8,Y
IDCJAC0001,088123,2013,06,107.2,Y
IDCJAC0001,088123,2013,07,102.0,Y
IDCJAC0001,088123,2013,08,126.8,Y
